City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
122,Brewster,41.3973,-73.6171,39.2,48,40,8.05,US,scattered clouds
123,Salto De Agua,17.6167,-92.3667,80.6,89,40,6.91,MX,scattered clouds
124,Tubmanburg,6.8708,-10.8172,74.53,94,100,3.83,LR,light rain
125,Punta Arenas,-53.15,-70.9167,46.4,93,75,6.91,CL,light rain
126,Northam,51.0333,-4.2167,42.01,81,0,3.0,GB,clear sky
127,Luena,-11.7833,19.9167,58.84,85,19,2.37,AO,few clouds
128,Firminy,45.3873,4.2907,37.4,100,0,1.14,FR,clear sky
129,Ahuimanu,21.4447,-157.8378,82.4,61,20,12.66,US,few clouds
130,Roebourne,-20.7833,117.1333,88.99,19,0,15.66,AU,clear sky
131,Santander,43.4647,-3.8044,57.0,87,0,2.3,ES,clear sky
132,Kruisfontein,-34.0033,24.7314,55.99,95,0,5.86,ZA,clear sky
133,Chase,50.8165,-119.6857,50.0,37,12,2.3,CA,few clouds
134,Mollendo,-17.0231,-72.0147,66.74,83,51,5.26,PE,broken clouds
135,Cabo San Lucas,22.8909,-109.9124,77.0,31,40,15.05,MX,scattered clouds
136,Teahupoo,-17.8333,-149.2667,84.2,65,20,8.05,PF,moderate rain
137,Dunedin,-45.8742,170.5036,61.0,62,100,3.13,NZ,overcast clouds
138,Ushtobe,45.2514,77.9838,38.89,33,0,16.24,KZ,clear sky
139,Chokurdakh,70.6333,147.9167,8.67,88,72,3.51,RU,broken clouds
140,Jamestown,42.097,-79.2353,30.99,86,1,13.8,US,clear sky
141,Sunrise Manor,36.2111,-115.0731,77.0,9,1,9.22,US,clear sky
142,Viedma,-40.8135,-62.9967,58.82,69,75,6.64,AR,broken clouds
143,Esperance,-33.8667,121.9,68.0,60,100,9.22,AU,overcast clouds
144,Kaeo,-35.1,173.7833,71.01,80,96,7.0,NZ,overcast clouds
145,Rovaniemi,66.5,25.7167,30.2,93,90,14.97,FI,snow
146,Nikolskoye,59.7035,30.7861,42.01,87,0,8.95,RU,clear sky
147,High Level,58.5169,-117.136,30.2,51,20,10.36,CA,few clouds
148,Ilulissat,69.2167,-51.1,26.6,68,18,4.61,GL,few clouds
149,Khatanga,71.9667,102.5,31.77,92,100,15.32,RU,overcast clouds
150,Sur,22.5667,59.5289,87.94,42,0,3.36,OM,clear sky
151,Arraial Do Cabo,-22.9661,-42.0278,72.97,77,8,21.63,BR,clear sky
152,Grindavik,63.8424,-22.4338,44.6,87,90,29.93,IS,light rain
153,Springfield,37.2153,-93.2982,48.2,71,90,9.22,US,light rain
154,Nome,64.5011,-165.4064,44.6,49,1,4.61,US,clear sky
155,Sao Filipe,14.8961,-24.4956,71.24,74,45,15.3,CV,scattered clouds
156,Nishihara,26.1842,127.7558,69.8,88,75,24.16,JP,light rain
157,Port Hedland,-20.3167,118.5667,93.2,13,0,17.27,AU,clear sky
158,Vila Franca Do Campo,37.7167,-25.4333,59.0,72,40,34.52,PT,scattered clouds
159,Avera,33.194,-82.5271,44.6,70,1,3.4,US,clear sky
160,Tuy Hoa,13.0833,109.3,89.04,60,87,5.73,VN,overcast clouds
161,Mabaruma,8.2,-59.7833,72.77,97,100,2.59,GY,overcast clouds
162,Jiuquan,39.7432,98.5174,51.67,23,100,17.56,CN,overcast clouds
163,Saint-Philippe,-21.3585,55.7679,77.0,78,75,12.66,RE,light rain
164,Udachnyy,66.4167,112.4,28.15,75,95,23.2,RU,overcast clouds
165,Mabamba,-3.5983,30.5019,60.19,96,42,1.3,TZ,scattered clouds
166,Hamilton,39.1834,-84.5333,39.99,80,1,3.62,US,clear sky
167,Georgetown,5.4112,100.3354,87.01,74,20,3.44,MY,few clouds
