City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
423,Xapuri,BR,77.63,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
426,Careiro Da Varzea,BR,78.8,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
431,Dunkwa,GH,75.43,overcast clouds,5.9656,-1.78,Tim Freeman Gold City Hotel
434,Dafeng,CN,85.15,broken clouds,23.4517,108.5881,Shenglong Hotel
439,Bima,ID,88.25,scattered clouds,-8.4667,118.7167,Lambitu Hotel
444,Harper,LR,80.02,overcast clouds,4.375,-7.7169,Screensaver
446,Kidal,ML,81.23,clear sky,18.4411,1.4078,
448,High Rock,BS,75.2,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
449,Lishui,CN,81.61,scattered clouds,28.4604,119.9103,Bayi Hotel
452,Kota Kinabalu,MY,89.6,few clouds,5.9749,116.0724,Gaya Centre Hotel
459,Marawi,PH,84.99,scattered clouds,7.9986,124.2928,Derogongan Residence
460,Hambantota,LK,84.2,few clouds,6.1241,81.1185,Bungalow 63
463,Santa Rosa,PH,89.6,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
470,Teluk Nibung,ID,83.07,overcast clouds,3.0010000000000003,99.8164,Hotel Assyifa
472,Sitrah,BH,82.4,clear sky,26.1547,50.6206,Al Bander Resort - منتجع البندر
476,Mecca,SA,84.74,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
477,Zabid,YE,81.27,clear sky,14.1951,43.3152,دار الضيافة
484,Tiruchchirappalli,IN,87.8,haze,10.8167,78.6833,Sangam Hotel
491,Quzhou,CN,77.81,broken clouds,28.9594,118.8686,Quzhou Jiujiu Business Hotel
501,Hadejia,NG,81.55,broken clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
506,Touros,BR,77.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
508,Doha,QA,88.0,clear sky,25.2867,51.5333,Movenpick Hotel Doha
509,Lakatoro,VU,84.87,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
510,Daru,PG,83.68,scattered clouds,-9.0763,143.2092,Daru Lodge
511,Manokwari,ID,82.54,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
514,Taunggyi,MM,86.67,clear sky,20.7833,97.0333,True Treasure Hotel
519,Palitana,IN,82.4,smoke,21.5167,71.8333,Sanderao Bhavan
520,Piacabucu,BR,77.59,broken clouds,-10.4056,-36.4344,Piaçabuçu News
522,Dutse,NG,76.96,broken clouds,11.7594,9.3392,Central Mosque Galamawa
523,Batie,BF,80.35,overcast clouds,9.8833,-2.9167,Auberge SONDAR AFACI
524,Aswan,EG,81.19,clear sky,24.0934,32.907,Nuba Nile
525,Cap Malheureux,MU,75.0,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
